证券代码,证券简称,营收区域结构
000560.SZ,我爱我家,华东:40.01%;华北:37.77%;云南:10.25%;其他业务(地区):7.2%;其他(地区):4.62%;华南地区:0.08%;国外:0.06%
000561.SZ,烽火电子,国内:99.43%;其他业务(地区):0.57%
000563.SZ,陕国投A,西北地区:67.75%;华北地区:11.45%;华东地区:7.92%;华南地区:5%;华中地区:4.33%;西南地区:2.31%;东北地区:1.24%
000564.SZ,供销大集,华南地区:47.83%;西北地区:28.89%;华北地区:10.12%;华中地区:6.44%;港澳台地区:2.95%;华东地区:2.65%;西南地区:0.91%;东北地区:0.21%
000565.SZ,渝三峡A,西南:91.26%;西北:8.74%
000566.SZ,海南海药,国内:94.08%;国外:5.92%
000567.SZ,海德股份,海南省外:99.41%;海南:0.59%
000568.SZ,泸州老窖,国内:99.1%;国外:0.9%
000570.SZ,苏常柴A,国内:84.61%;国外:15.39%
000571.SZ,*ST大洲,内蒙古:48.4%;其他(地区):25.76%;上海:13.52%;宁波地区:11.09%;其他业务(地区):0.89%;天津:0.35%
000572.SZ,ST海马,华中:86.01%;华南:10.98%;其他业务(地区):2.92%;华东:0.09%
000573.SZ,粤宏远A,华南:97.97%;其他业务(地区):1.64%;西南:0.4%
000576.SZ,甘化科工,国内:96.62%;其他业务(地区):3.38%
000581.SZ,威孚高科,国内:91.74%;其他业务(地区):4.89%;国外:3.37%
000582.SZ,北部湾港,国内:100%
000584.SZ,哈工智能,华东:31.51%;华中:21.64%;西南:15.08%;境外:11%;东北:8.48%;华北:8.07%;华南:4.21%
000585.SZ,*ST东电,华南:30.09%;东北:21.68%;西北:19.19%;西南:14.93%;华北:14.12%
000586.SZ,汇源通信,国内:90.96%;国外:4.81%;其他业务(地区):4.23%
000587.SZ,*ST金洲,华南:47.61%;华北:18.45%;西南:11.72%;华东:11.61%;华中:4.59%;东北:2.99%;西北:1.66%;海外地区:1.33%;其他:0.03%
000589.SZ,贵州轮胎,国内:81.2%;国外:18.14%;其他业务(地区):0.66%
000590.SZ,启迪古汉,省内:90.96%;省外:7.78%;其他业务(地区):1.26%
000591.SZ,太阳能,镇江:25.38%;华东:22.01%;西中区:13.78%;西北区:12.57%;华北:11.22%;新疆:10.02%;华中区:4.99%;其他地区:0.03%
000592.SZ,平潭发展,国内:97.96%;其他业务(地区):2.04%
000593.SZ,大通燃气,四川:31.82%;江苏省:24.34%;江西:20.96%;湖北省:7.75%;北京市:6.33%;辽宁:4.62%;其他业务(地区):4.06%;天津市:0.12%
000595.SZ,*ST宝实,国内:99.1%;国外:0.9%
000596.SZ,古井贡酒,华中:89.54%;华北:5.35%;华南:5%;国际:0.12%
000597.SZ,东北制药,国内:86.23%;国外:12.83%;其他业务(地区):0.94%
000598.SZ,兴蓉环境,西南:93.63%;西北:4.26%;其他各地:2.11%
000599.SZ,青岛双星,国内:60.92%;国外:39.08%
000600.SZ,建投能源,河北:100%
000601.SZ,韶能股份,广东:71.42%;广东省外:28.58%
000603.SZ,盛达资源,内蒙古自治区外:73.75%;内蒙古自治区内:26.25%
000605.SZ,渤海股份,天津:50.03%;河北:48.3%;河南:1.46%;广西:0.2%
000606.SZ,顺利办,西南:63.05%;华东:26.62%;中南:4.37%;华北:4.09%;西北:1.02%;东北:0.85%
000607.SZ,华媒控股,国内:100%
000608.SZ,阳光股份,北京:53.13%;四川:43.75%;天津:2.18%;上海:0.94%
000609.SZ,中迪投资,西南:99.83%;华北:0.17%
000610.SZ,西安旅游,西安:100%
000611.SZ,ST天首,华北:97.74%;其他业务(地区):2.26%
000612.SZ,焦作万方,河南:91.81%;河南省外:8.19%
000613.SZ,大东海A,海南:87.84%;其他业务(地区):12.16%
000615.SZ,奥园美谷,国内:93.02%;国外:6.98%
000616.SZ,海航投资,天津:80.15%;北京:19.85%
000617.SZ,中油资本,境内:78.64%;出口:21.36%
000619.SZ,海螺型材,华东:48.41%;其他地区:40.52%;华北:10.22%;其他业务(地区):0.86%
000620.SZ,新华联,其他业务(地区):23.82%;湖南:12.98%;安徽:12.06%;西宁:10.72%;上海:7.76%;广东:7.67%;湖北:7.39%;境外:4.58%;吉林:3.21%;内蒙古:2.74%;宁夏:1.75%;海南:1.73%;河北:1.68%;天津:0.96%;北京:0.83%;黑龙江:0.12%
000622.SZ,恒立实业,华东:48.64%;华北:35.29%;华中:9.73%;西南:5.77%;华南:0.56%;东北地区:0.01%
000623.SZ,吉林敖东,东北:26.92%;华东:26.92%;西南:15.83%;华南:13.35%;华北:10.08%;西北:6.9%
000625.SZ,长安汽车,国内:95.66%;国外:4.34%
000626.SZ,远大控股,国内:83.81%;国外:16.19%
000627.SZ,天茂集团,保险(武汉):97.58%;出口:0.44%
000628.SZ,高新发展,国内:99.8%;其他业务(地区):0.2%
000629.SZ,攀钢钒钛,内销:87.7%;港澳台及海外:12.3%
000630.SZ,铜陵有色,华东:82.34%;其他地区:16.85%;其他业务(地区):0.81%
000631.SZ,顺发恒业,江苏省:49.06%;浙江:47.39%;安徽:3.42%;其他业务(地区):0.13%
000632.SZ,三木集团,国内:59.11%;国外:40.89%
000633.SZ,合金投资,国内:91.54%;国外:8.46%
000635.SZ,英力特,华东:66.83%;西北:19.68%;华北:7.06%;华南:4.87%;西南:0.93%;华中:0.51%;东北:0.12%
000636.SZ,风华高科,国内:92.73%;境外:7.27%
000637.SZ,茂化实华,广东:83.29%;其他地区:16.71%
000638.SZ,万方发展,西南:60.52%;西北:27.08%;华南:10.4%;华东:1.22%;华中:0.7%;华北:0.08%
000639.SZ,西王食品,中国大陆:55.72%;出口:44.28%
000650.SZ,仁和药业,华东:31.81%;华北:23.09%;华南:16.82%;西南:12.47%;西北:8.42%;东北:7.39%
000651.SZ,格力电器,国内:67.86%;其他业务(地区):21.75%;国外:10.38%
000652.SZ,泰达股份,天津:86.09%;江苏地区:11.36%;其他地区:1.32%;辽宁地区:1.23%
